"ID","FSN","Neem_Tree","Neem_Tree_Distance","Neem_Tree_Size","Neem_Tree_Age","Neem_Tree_Usage","Neem_Tree_Use_Other","Bamboo_Tree","Bamboo_Tree_Dist","Banana_Tree","Banana_Tree_Dist","Rice_Field","Rice_Field_Dist","Perm_Water_Body","Perm_Wat_Body_Dist","Wat_Body_Mid_Point","No_Mosquito_Net","Sprayed_2010","Sprayed_2009","Floor_Material","Other_Floor_Mat","Is_Floor_Damp","Roof_Material","Other_Roof_Material","Wall_Material","Other_Wall_Material","Windows_in_Room","Granaries_in_HH","Source_Drink_Water","Other_Src_Drink_Wat","Toilet_Facility","Other_Toilet_Fac","Cooking_Fuel","Other_Cooking_Fuel","Source_Light","Other_Source_Light","Electricity_in_HH","No_Of_Rooms","No_Sleeping_Rooms"
1,45001.00,0.00,-1.00,-1.00,-1.00,,,1.00,3.00,0.00,-1.00,1.00,4.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,161.00,-1.00,164.00,-1.00,1.00,1.00,167.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,2.00
2,45002.00,0.00,-1.00,-1.00,-1.00,,,1.00,10.00,0.00,-1.00,1.00,12.00,0.00,-1.00,-1.00,2.00,86.00,86.00,153.00,-1.00,1.00,159.00,-1.00,164.00,-1.00,1.00,1.00,167.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,2.00
3,45003.00,0.00,-1.00,-1.00,-1.00,,,1.00,16.00,0.00,-1.00,1.00,16.00,0.00,-1.00,-1.00,1.00,86.00,86.00,153.00,-1.00,1.00,158.00,-1.00,164.00,-1.00,1.00,1.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,3.00,2.00
4,45004.00,0.00,-1.00,-1.00,-1.00,,,1.00,17.00,0.00,-1.00,1.00,13.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,156.00,-1.00,162.00,-1.00,0.00,0.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,1.00,1.00
5,45005.00,0.00,-1.00,-1.00,-1.00,,,1.00,5.00,0.00,-1.00,1.00,4.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,156.00,-1.00,163.00,-1.00,0.00,1.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,2.00
6,45006.00,0.00,-1.00,-1.00,-1.00,,,1.00,4.00,0.00,-1.00,1.00,13.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,156.00,-1.00,163.00,-1.00,0.00,1.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,3.00,2.00
7,45007.00,0.00,-1.00,-1.00,-1.00,,,1.00,15.00,0.00,-1.00,1.00,10.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,156.00,-1.00,162.00,-1.00,0.00,0.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,2.00
8,45008.00,0.00,-1.00,-1.00,-1.00,,,1.00,3.00,1.00,5.00,1.00,10.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,158.00,-1.00,164.00,-1.00,1.00,1.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,1.00,1.00
9,45009.00,0.00,-1.00,-1.00,-1.00,,,1.00,1.00,1.00,1.00,1.00,7.00,0.00,-1.00,-1.00,1.00,86.00,86.00,155.00,-1.00,0.00,158.00,-1.00,164.00,-1.00,1.00,1.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,3.00,1.00
10,45010.00,0.00,-1.00,-1.00,-1.00,,,1.00,10.00,0.00,-1.00,1.00,12.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,156.00,-1.00,162.00,-1.00,0.00,0.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,1.00,1.00
11,45011.00,0.00,-1.00,-1.00,-1.00,,,1.00,10.00,0.00,-1.00,1.00,12.00,0.00,-1.00,-1.00,0.00,86.00,86.00,153.00,-1.00,1.00,159.00,-1.00,162.00,-1.00,0.00,0.00,92.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,1.00,1.00
12,45012.00,0.00,-1.00,-1.00,-1.00,,,1.00,12.00,0.00,-1.00,1.00,15.00,0.00,-1.00,-1.00,2.00,86.00,86.00,155.00,-1.00,0.00,158.00,-1.00,165.00,-1.00,1.00,1.00,167.00,-1.00,174.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,2.00
13,45013.00,0.00,-1.00,-1.00,-1.00,,,1.00,12.00,0.00,-1.00,1.00,15.00,0.00,-1.00,-1.00,1.00,86.00,86.00,155.00,-1.00,0.00,158.00,-1.00,165.00,-1.00,1.00,1.00,92.00,-1.00,174.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,1.00,1.00
14,45014.00,0.00,-1.00,-1.00,-1.00,,,1.00,12.00,0.00,-1.00,1.00,15.00,0.00,-1.00,-1.00,1.00,86.00,86.00,155.00,-1.00,0.00,158.00,-1.00,165.00,-1.00,1.00,0.00,92.00,-1.00,174.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,1.00
15,45015.00,0.00,-1.00,-1.00,-1.00,,,1.00,20.00,0.00,-1.00,1.00,10.00,0.00,-1.00,-1.00,1.00,86.00,86.00,153.00,-1.00,1.00,158.00,-1.00,164.00,-1.00,1.00,1.00,167.00,-1.00,177.00,-1.00,180.00,-1.00,182.00,-1.00,0.00,2.00,1.00
